"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Fresh weight of storage root samples measuring g|CO_331:0000243","Dry weight of storage root samples measuring g|CO_331:0000247","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Storage root dry matter content computing percent|CO_331:0000297","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00055","","","","","","10","3","3","0","0","0","","","","","","","","1","9","9","0","0","","0","","0","","","","0","0","0","0","0","0","","","","","30","","","0","0","0","0","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00056","","","","50.97","19.53","10","9","9","6","7","12","3","1","5","5","2","4","3","7","3","5","1","0.6","2.6","1.6","4.2","19","0.142857143","0.05","0.084210526","2.111111111","1.9","0.777777778","0.7","0.177777778","0.16","0.288888889","0.26","36.84210526","38.0952381","90","38.31665686","0.61306651","3.333333333","3.703703704","5.333333333","5.925925926","8.666666667","9.62962963","2.043555032","2.270616703","14","15.55555556"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00057","","","","50.82","17.31","10","9","9","8","11","10","2","2","4","6","3","5","8","6","6","4","2.5","0.4","1","2.9","3.9","21","0.227272727","0.04","0.138095238","2.333333333","2.1","1.222222222","1.1","0.322222222","0.29","0.111111111","0.1","52.38095238","74.35897436","90","34.06139315","0.987780401","8.333333333","9.259259259","9.666666667","10.74074074","3.333333333","3.703703704","3.292601338","3.658445931","13","14.44444444"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00058","","","","","","10","3","3","2","2","4","2","1","","","2","5","8","5","7","6","1","0.4","0.8","1.4","2.2","6","0.5","0.1","0.233333333","2","0.6","0.666666667","0.2","0.466666667","0.14","0.266666667","0.08","33.33333333","63.63636364","30","","","3.333333333","11.11111111","4.666666667","15.55555556","2.666666667","8.888888889","","","7.333333333","24.44444444"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00059","","","","","","10","10","10","8","10","7","1","1","","","2","5","7","8","4","4","2.7","0.3","5.6","3","8.6","17","0.27","0.042857143","0.176470588","1.7","1.7","1","1","0.3","0.3","0.56","0.56","58.82352941","34.88372093","100","","","9","9","10","10","18.66666667","18.66666667","","","28.66666667","28.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00060","","","","","","10","8","8","6","7","9","2","1","","","4","4","6","8","3","4","2.1","1.2","4.6","3.3","7.9","16","0.3","0.133333333","0.20625","2","1.6","0.875","0.7","0.4125","0.33","0.575","0.46","43.75","41.7721519","80","","","7","8.75","11","13.75","15.33333333","19.16666667","","","26.33333333","32.91666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00061","","","","50.41","15.08","10","10","10","10","11","47","2","1","8","5","2","6","7","8","3","4","3.1","3.1","1.6","6.2","7.8","58","0.281818182","0.065957447","0.106896552","5.8","5.8","1.1","1.1","0.62","0.62","0.16","0.16","18.96551724","79.48717949","100","29.91469946","1.854711367","10.33333333","10.33333333","20.66666667","20.66666667","5.333333333","5.333333333","6.182371223","6.182371223","26","26"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00062","","","","","","10","0","","","","","","","","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00063","","","","","","10","5","5","1","0","4","3","1","","","1","4","1","4","6","7","0","0.2","0.2","0.2","0.4","4","","0.05","0.05","0.8","0.4","0","0","0.04","0.02","0.04","0.02","0","50","50","","","0","0","0.666666667","1.333333333","0.666666667","1.333333333","","","1.333333333","2.666666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00064","","","","","","10","9","9","2","0","6","2","1","","","1","3","3","4","7","7","0","0.4","0.8","0.4","1.2","6","","0.066666667","0.066666667","0.666666667","0.6","0","0","0.044444444","0.04","0.088888889","0.08","0","33.33333333","90","","","0","0","1.333333333","1.481481481","2.666666667","2.962962963","","","4","4.444444444"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00065","","","","","","10","9","9","9","12","8","2","2","","","3","4","8","5","4","5","3.7","0.5","9","4.2","13.2","20","0.308333333","0.0625","0.21","2.222222222","2","1.333333333","1.2","0.466666667","0.42","1","0.9","60","31.81818182","90","","","12.33333333","13.7037037","14","15.55555556","30","33.33333333","","","44","48.88888889"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00066","","","","","","10","7","7","6","6","5","3","2","","","2","6","7","3","5","8","1.7","0.5","8","2.2","10.2","11","0.283333333","0.1","0.2","1.571428571","1.1","0.857142857","0.6","0.314285714","0.22","1.142857143","0.8","54.54545455","21.56862745","70","","","5.666666667","8.095238095","7.333333333","10.47619048","26.66666667","38.0952381","","","34","48.57142857"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00067","","","","50.43","19.08","10","10","10","10","7","5","2","1","5","3","2","5","6","7","3","4","1.6","0.6","8","2.2","10.2","12","0.228571429","0.12","0.183333333","1.2","1.2","0.7","0.7","0.22","0.22","0.8","0.8","58.33333333","21.56862745","100","37.83462225","0.832361689","5.333333333","5.333333333","7.333333333","7.333333333","26.66666667","26.66666667","2.774538965","2.774538965","34","34"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00068","","","","","","10","0","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00069","","","","50.8","21.17","10","10","10","10","12","40","1","1","6","3","2","4","5","5","4","6","2.6","2.5","5.2","5.1","10.3","52","0.216666667","0.0625","0.098076923","5.2","5.2","1.2","1.2","0.51","0.51","0.52","0.52","23.07692308","49.51456311","100","41.67322835","2.125334646","8.666666667","8.666666667","17","17","17.33333333","17.33333333","7.084448819","7.084448819","34.33333333","34.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00070","","","","50.46","19.71","10","9","9","9","10","12","2","1","4","5","2","5","6","7","4","4","2.7","1.1","2","3.8","5.8","22","0.27","0.091666667","0.172727273","2.444444444","2.2","1.111111111","1","0.422222222","0.38","0.222222222","0.2","45.45454545","65.51724138","90","39.06064209","1.4843044","9","10","12.66666667","14.07407407","6.666666667","7.407407407","4.947681332","5.497423702","19.33333333","21.48148148"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00071","","","","","","10","10","10","0","0","0","","","","","","","","9","3","3","0","0","24.2","0","24.2","0","","","","0","0","0","0","0","0","2.42","2.42","","0","100","","","0","0","0","0","80.66666667","80.66666667","","","80.66666667","80.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00072","","","","","","10","6","6","3","0","9","2","1","","","2","3","4","1","6","9","0","0.9","1.2","0.9","2.1","9","","0.1","0.1","1.5","0.9","0","0","0.15","0.09","0.2","0.12","0","42.85714286","60","","","0","0","3","5","4","6.666666667","","","7","11.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00073","","","","","","10","10","10","9","6","12","3","1","","","2","5","6","9","3","3","1.7","0.7","13.2","2.4","15.6","18","0.283333333","0.058333333","0.133333333","1.8","1.8","0.6","0.6","0.24","0.24","1.32","1.32","33.33333333","15.38461538","100","","","5.666666667","5.666666667","8","8","44","44","","","52","52"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00074","","","","","","10","0","","","","","","","","","","","","2","6","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00075","","","","","","10","4","4","4","4","3","3","1","","","1","4","5","4","6","6","0.7","0.1","0.4","0.8","1.2","7","0.175","0.033333333","0.114285714","1.75","0.7","1","0.4","0.2","0.08","0.1","0.04","57.14285714","66.66666667","40","","","2.333333333","5.833333333","2.666666667","6.666666667","1.333333333","3.333333333","","","4","10"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00076","","","","","","10","4","4","4","2","4","2","1","","","2","4","3","5","6","7","0.4","0.2","0.8","0.6","1.4","6","0.2","0.05","0.1","1.5","0.6","0.5","0.2","0.15","0.06","0.2","0.08","33.33333333","42.85714286","40","","","1.333333333","3.333333333","2","5","2.666666667","6.666666667","","","4.666666667","11.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00077","","","","50.51","22.65","10","10","10","8","8","13","3","1","5","8","2","4","7","8","3","3","1.8","1.6","9.6","3.4","13","21","0.225","0.123076923","0.161904762","2.1","2.1","0.8","0.8","0.34","0.34","0.96","0.96","38.0952381","26.15384615","100","44.84260542","1.524648584","6","6","11.33333333","11.33333333","32","32","5.082161948","5.082161948","43.33333333","43.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00078","","","","50.23","11.52","10","10","10","8","9","28","2","1","8","6","5","4","7","5","4","4","2.5","2.7","1.2","5.2","6.4","37","0.277777778","0.096428571","0.140540541","3.7","3.7","0.9","0.9","0.52","0.52","0.12","0.12","24.32432432","81.25","100","22.93450129","1.192594067","8.333333333","8.333333333","17.33333333","17.33333333","4","4","3.975313558","3.975313558","21.33333333","21.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00079","","","","50.37","19.76","10","10","10","10","17","17","1","1","8","3","1","5","8","8","3","3","4.1","0.8","10.4","4.9","15.3","34","0.241176471","0.047058824","0.144117647","3.4","3.4","1.7","1.7","0.49","0.49","1.04","1.04","50","32.02614379","100","39.22970022","1.922255311","13.66666667","13.66666667","16.33333333","16.33333333","34.66666667","34.66666667","6.407517702","6.407517702","51","51"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00080","","","","50.62","17.76","10","10","10","8","13","6","3","1","6","8","2","5","8","6","2","5","5.7","0.4","4.8","6.1","10.9","19","0.438461538","0.066666667","0.321052632","1.9","1.9","1.3","1.3","0.61","0.61","0.48","0.48","68.42105263","55.96330275","100","35.08494666","2.140181746","19","19","20.33333333","20.33333333","16","16","7.133939154","7.133939154","36.33333333","36.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00081","","","","","","10","6","6","5","4","12","4","1","","","2","3","7","2","6","8","1.1","0.5","1","1.6","2.6","16","0.275","0.041666667","0.1","2.666666667","1.6","0.666666667","0.4","0.266666667","0.16","0.166666667","0.1","25","61.53846154","60","","","3.666666667","6.111111111","5.333333333","8.888888889","3.333333333","5.555555556","","","8.666666667","14.44444444"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00082","","","","","","10","10","10","9","7","11","2","1","","","2","4","3","4","5","7","0.9","0.3","3.2","1.2","4.4","18","0.128571429","0.027272727","0.066666667","1.8","1.8","0.7","0.7","0.12","0.12","0.32","0.32","38.88888889","27.27272727","100","","","3","3","4","4","10.66666667","10.66666667","","","14.66666667","14.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00083","","","","","","10","5","5","5","2","5","3","1","","","2","3","5","4","5","7","0.7","0.2","0.6","0.9","1.5","7","0.35","0.04","0.128571429","1.4","0.7","0.4","0.2","0.18","0.09","0.12","0.06","28.57142857","60","50","","","2.333333333","4.666666667","3","6","2","4","","","5","10"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00084","","","","","","10","10","10","10","24","17","3","2","","","1","6","8","7","3","5","5.5","0.8","4.4","6.3","10.7","41","0.229166667","0.047058824","0.153658537","4.1","4.1","2.4","2.4","0.63","0.63","0.44","0.44","58.53658537","58.87850467","100","","","18.33333333","18.33333333","21","21","14.66666667","14.66666667","","","35.66666667","35.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00085","","","","50.39","14.54","10","5","5","5","3","4","2","1","4","2","1","3","5","5","4","7","0.6","0.2","0.8","0.8","1.6","7","0.2","0.05","0.114285714","1.4","0.7","0.6","0.3","0.16","0.08","0.16","0.08","42.85714286","50","50","28.85493153","0.230839452","2","4","2.666666667","5.333333333","2.666666667","5.333333333","0.769464841","1.538929682","5.333333333","10.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00086","","","","","","10","3","3","1","3","4","2","1","","","2","6","6","4","5","7","0.9","0.1","1.6","1","2.6","7","0.3","0.025","0.142857143","2.333333333","0.7","1","0.3","0.333333333","0.1","0.533333333","0.16","42.85714286","38.46153846","30","","","3","10","3.333333333","11.11111111","5.333333333","17.77777778","","","8.666666667","28.88888889"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00087","","","","","","10","10","10","0","0","0","","","","","","","","8","3","3","0","0","18.2","0","18.2","0","","","","0","0","0","0","0","0","1.82","1.82","","0","100","","","0","0","0","0","60.66666667","60.66666667","","","60.66666667","60.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00088","","","","","","10","8","8","6","1","10","2","1","","","1","5","5","4","6","7","0.4","0.6","1.6","1","2.6","11","0.4","0.06","0.090909091","1.375","1.1","0.125","0.1","0.125","0.1","0.2","0.16","9.090909091","38.46153846","80","","","1.333333333","1.666666667","3.333333333","4.166666667","5.333333333","6.666666667","","","8.666666667","10.83333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00089","","","","","","10","7","7","4","7","4","2","1","","","2","4","9","5","4","6","4.5","0.2","2.4","4.7","7.1","11","0.642857143","0.05","0.427272727","1.571428571","1.1","1","0.7","0.671428571","0.47","0.342857143","0.24","63.63636364","66.1971831","70","","","15","21.42857143","15.66666667","22.38095238","8","11.42857143","","","23.66666667","33.80952381"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00090","","","","","","10","1","1","0","0","0","","","","","","","","","8","","0","0","0.8","0","0.8","0","","","","0","0","0","0","0","0","0.8","0.08","","0","10","","","0","0","0","0","2.666666667","26.66666667","","","2.666666667","26.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00091","","","","50.34","20.96","10","8","8","2","1","5","2","1","1","8","1","5","5","9","3","3","0.4","0.2","9.2","0.6","9.8","6","0.4","0.04","0.1","0.75","0.6","0.125","0.1","0.075","0.06","1.15","0.92","16.66666667","6.12244898","80","41.63686929","0.249821216","1.333333333","1.666666667","2","2.5","30.66666667","38.33333333","0.832737386","1.040921732","32.66666667","40.83333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00092","","","","","","10","6","6","1","0","3","2","1","","","1","4","3","4","5","5","0","0.3","1.4","0.3","1.7","3","","0.1","0.1","0.5","0.3","0","0","0.05","0.03","0.233333333","0.14","0","17.64705882","60","","","0","0","1","1.666666667","4.666666667","7.777777778","","","5.666666667","9.444444444"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00093","","","","","","10","0","","","","","","","","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00094","","","","","","10","7","7","6","3","13","2","1","","","1","4","6","7","3","4","0.9","0.6","4.6","1.5","6.1","16","0.3","0.046153846","0.09375","2.285714286","1.6","0.428571429","0.3","0.214285714","0.15","0.657142857","0.46","18.75","24.59016393","70","","","3","4.285714286","5","7.142857143","15.33333333","21.9047619","","","20.33333333","29.04761905"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00095","","","","50.05","14.42","10","9","9","9","10","18","3","1","7","4","3","4","3","4","5","7","1.4","0.6","1.2","2","3.2","28","0.14","0.033333333","0.071428571","3.111111111","2.8","1.111111111","1","0.222222222","0.2","0.133333333","0.12","35.71428571","62.5","90","28.81118881","0.576223776","4.666666667","5.185185185","6.666666667","7.407407407","4","4.444444444","1.920745921","2.134162134","10.66666667","11.85185185"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00096","","","","","","10","8","8","7","6","6","2","1","","","3","4","6","7","4","5","1.3","0.6","0.6","1.9","2.5","12","0.216666667","0.1","0.158333333","1.5","1.2","0.75","0.6","0.2375","0.19","0.075","0.06","50","76","80","","","4.333333333","5.416666667","6.333333333","7.916666667","2","2.5","","","8.333333333","10.41666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00097","","","","","","10","10","10","4","0","6","2","1","","","2","2","3","7","4","4","0","0.7","6.8","0.7","7.5","6","","0.116666667","0.116666667","0.6","0.6","0","0","0.07","0.07","0.68","0.68","0","9.333333333","100","","","0","0","2.333333333","2.333333333","22.66666667","22.66666667","","","25","25"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00098","","","","","","10","9","9","9","17","3","2","1","","","2","6","8","6","4","4","8.1","0.2","2.4","8.3","10.7","20","0.476470588","0.066666667","0.415","2.222222222","2","1.888888889","1.7","0.922222222","0.83","0.266666667","0.24","85","77.57009346","90","","","27","30","27.66666667","30.74074074","8","8.888888889","","","35.66666667","39.62962963"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00099","","","","50.7","17.09","10","10","10","10","8","16","2","1","6","8","2","4","8","5","3","5","7.9","0.7","5.8","8.6","14.4","24","0.9875","0.04375","0.358333333","2.4","2.4","0.8","0.8","0.86","0.86","0.58","0.58","33.33333333","59.72222222","100","33.70808679","2.898895464","26.33333333","26.33333333","28.66666667","28.66666667","19.33333333","19.33333333","9.662984878","9.662984878","48","48"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00100","","","","50.07","16.3","10","7","7","4","11","0","1","1","3","2","2","3","7","2","5","8","3.2","0","2.4","3.2","5.6","11","0.290909091","","0.290909091","1.571428571","1.1","1.571428571","1.1","0.457142857","0.32","0.342857143","0.24","100","57.14285714","70","32.55442381","1.041741562","10.66666667","15.23809524","10.66666667","15.23809524","8","11.42857143","3.472471873","4.960674104","18.66666667","26.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00101","","","","50.91","20.86","10","7","7","6","9","6","2","1","4","3","2","4","7","7","4","4","2.8","0.5","5.2","3.3","8.5","15","0.311111111","0.083333333","0.22","2.142857143","1.5","1.285714286","0.9","0.471428571","0.33","0.742857143","0.52","60","38.82352941","70","40.97426832","1.352150854","9.333333333","13.33333333","11","15.71428571","17.33333333","24.76190476","4.507169515","6.438813593","28.33333333","40.47619048"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00102","","","","50.4","12.82","10","9","9","9","11","16","3","2","5","8","4","5","7","5","6","7","2.6","0.9","0.2","3.5","3.7","27","0.236363636","0.05625","0.12962963","3","2.7","1.222222222","1.1","0.388888889","0.35","0.022222222","0.02","40.74074074","94.59459459","90","25.43650794","0.890277778","8.666666667","9.62962963","11.66666667","12.96296296","0.666666667","0.740740741","2.967592593","3.297325103","12.33333333","13.7037037"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00103","","","","","","10","4","4","0","0","0","","","","","","","","6","3","4","0","0","1","0","1","0","","","","0","0","0","0","0","0","0.25","0.1","","0","40","","","0","0","0","0","3.333333333","8.333333333","","","3.333333333","8.333333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00104","","","","","","10","7","7","3","0","3","2","1","","","1","3","3","5","9","7","0","0.4","0.8","0.4","1.2","3","","0.133333333","0.133333333","0.428571429","0.3","0","0","0.057142857","0.04","0.114285714","0.08","0","33.33333333","70","","","0","0","1.333333333","1.904761905","2.666666667","3.80952381","","","4","5.714285714"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00105","","","","","","10","7","7","2","0","3","4","1","","","1","3","1","6","1","5","0","0.9","2","0.9","2.9","3","","0.3","0.3","0.428571429","0.3","0","0","0.128571429","0.09","0.285714286","0.2","0","31.03448276","70","","","0","0","3","4.285714286","6.666666667","9.523809524","","","9.666666667","13.80952381"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00106","","","","","","10","2","2","1","0","2","2","1","","","1","2","2","2","4","8","0","0.1","0.2","0.1","0.3","2","","0.05","0.05","1","0.2","0","0","0.05","0.01","0.1","0.02","0","33.33333333","20","","","0","0","0.333333333","1.666666667","0.666666667","3.333333333","","","1","5"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00107","","","","","","10","0","","","","","","","","","","","","","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00108","","","","","","10","10","10","0","0","0","","","","","","","","6","1","5","0","0","7","0","7","0","","","","0","0","0","0","0","0","0.7","0.7","","0","100","","","0","0","0","0","23.33333333","23.33333333","","","23.33333333","23.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00109","","","","50.21","19.31","10","9","9","5","8","6","3","2","6","8","2","5","4","6","1","5","1.5","0.2","8","1.7","9.7","14","0.1875","0.033333333","0.121428571","1.555555556","1.4","0.888888889","0.8","0.188888889","0.17","0.888888889","0.8","57.14285714","17.5257732","90","38.45847441","0.653794065","5","5.555555556","5.666666667","6.296296296","26.66666667","29.62962963","2.17931355","2.4214595","32.33333333","35.92592593"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00110","","","","","","10","7","7","7","12","6","2","1","","","2","4","8","6","4","5","4.6","0.4","3.8","5","8.8","18","0.383333333","0.066666667","0.277777778","2.571428571","1.8","1.714285714","1.2","0.714285714","0.5","0.542857143","0.38","66.66666667","56.81818182","70","","","15.33333333","21.9047619","16.66666667","23.80952381","12.66666667","18.0952381","","","29.33333333","41.9047619"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00111","","","","50.96","19.08","10","10","10","10","14","20","2","1","6","5","1","4","5","6","4","4","2.4","1.4","4.4","3.8","8.2","34","0.171428571","0.07","0.111764706","3.4","3.4","1.4","1.4","0.38","0.38","0.44","0.44","41.17647059","46.34146341","100","37.4411303","1.422762951","8","8","12.66666667","12.66666667","14.66666667","14.66666667","4.742543171","4.742543171","27.33333333","27.33333333"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00112","","","","","","10","8","8","8","13","10","2","1","","","2","5","7","7","5","3","3.7","0.9","10.2","4.6","14.8","23","0.284615385","0.09","0.2","2.875","2.3","1.625","1.3","0.575","0.46","1.275","1.02","56.52173913","31.08108108","80","","","12.33333333","15.41666667","15.33333333","19.16666667","34","42.5","","","49.33333333","61.66666667"
"","","GHP2014KMD-PT02","","","","","","","","","GHP2014KMD-PT02-00113","","","","","","10","5","5","5","3","8","2","1","","","2","3","2","1","5","9","0.4","0.4","1.8","0.8","2.6","11","0.133333333","0.05","0.072727273","2.2","1.1","0.6","0.3","0.16","0.08","0.36","0.18","27.27272727","30.76923077","50","","","1.333333333","2.666666667","2.666666667","5.333333333","6","12","","","8.666666667","17.33333333"
