"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Content of beta-carotene in dry weight basis in raw storage roots measuring mg per 100g|CO_331:0000289","Content of iron in dry weight basis measuring mg per 100g by NIRS|CO_331:0001016","Content of zinc in dry weight basis measuring mg per 100g by NIRS|CO_331:0001017","Dry weight of storage root samples measuring g|CO_331:0000247","Fresh weight of storage root samples measuring g|CO_331:0000243","Content of fructose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001045","Content of glucose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001047","Millipede damage estimating 1-9|CO_331:0000805","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Number of plants established per NET plot|CO_331:0000192","Number of plants harvested per NET plot|CO_331:0000679","Number of plants planted per NET plot|CO_331:0000678","Number of plants with storage roots per NET plot|CO_331:0000211","Storage root predominant Flesh color estimating 1-9|CO_331:0000178","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of protein in dry weight basis in raw storage roots measuring percentage|CO_331:0000278","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Content of starch in dry weight basis in raw storage roots measuring percentage|CO_331:0000291","Storage root shape estimating 1-9 CIP|CO_331:0000181","Storage root dry matter content computing percent|CO_331:0000297","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Content of sucrose in dry weight basis in raw storage roots measuring g per 100g|CO_331:0001049","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Total storage root weight in dry weight basis per NET plot in kg|CO_331:0000995","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Storage root dry matter yield per NET plot in tons per ha|CO_331:0001000","Storage root dry matter yield adjusted per NET plot in tons per ha|CO_331:0001001","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00001","","","","1","0","1.68","2.02","19.09","50.37","3.05","10.74","2","80","110","30","30","30","30","8","6","2.94","2","65.05","2","37.89954338","7","9","0.75","5","23","7.5","11","30.5","41.5","190","0.2875","0.068181818","0.160526316","6.333333333","6.333333333","2.666666667","2.666666667","1.016666667","1.016666667","0.366666667","0.366666667","42.10526316","73.4939759","100","11.55936073","25.55555556","25.55555556","33.88888889","33.88888889","12.22222222","12.22222222","12.84373415","12.84373415","46.11111111","46.11111111"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00010","","","","1","24.7","1.97","2.39","12.73","50.26","3.27","24.52","1","27","74","30","30","30","25","1","8","3.14","1","49.03","3","25.32829288","5","7","1","3","5.7","3.4","21","9.1","30.1","101","0.211111111","0.045945946","0.09009901","3.366666667","3.366666667","0.9","0.9","0.303333333","0.303333333","0.7","0.7","26.73267327","30.23255814","100","2.304874652","6.333333333","6.333333333","10.11111111","10.11111111","23.33333333","23.33333333","2.560971835","2.560971835","33.44444444","33.44444444"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00011","","","","4","0","1.58","1.55","20.47","50.81","2.66","9.23","2","20","49","25","25","30","12","5","3","3.04","4","66.44","2","40.28734501","4","7","0.75","3","5.6","3","11.8","8.6","20.4","69","0.28","0.06122449","0.124637681","2.76","2.3","0.8","0.666666667","0.344","0.286666667","0.472","0.393333333","28.98550725","42.15686275","83.33333333","3.464711671","6.222222222","7.466666667","9.555555556","11.46666667","13.11111111","15.73333333","3.849679634","4.619615561","22.66666667","27.2"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00012","","","","1","0","1.66","0.92","19.11","50.6","1.58","7.64","1","82","130","25","25","30","25","8","3","3.25","3","70.25","3","37.76679842","7","7","0.93","3","15.8","5.3","12","21.1","33.1","212","0.192682927","0.040769231","0.099528302","8.48","7.066666667","3.28","2.733333333","0.844","0.703333333","0.48","0.4","38.67924528","63.74622356","83.33333333","7.968794466","17.55555556","21.06666667","23.44444444","28.13333333","13.33333333","16","8.854216074","10.62505929","36.77777778","44.13333333"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00013","","","","1","0","1.61","1.87","17.94","50.39","2.93","5.2","1","63","54","27","27","30","27","4","6","3.01","1","69.73","2","35.60230204","6","8","0.93","4","16.3","2.9","11","19.2","30.2","117","0.258730159","0.053703704","0.164102564","4.333333333","3.9","2.333333333","2.1","0.711111111","0.64","0.407407407","0.366666667","53.84615385","63.57615894","90","6.835641992","18.11111111","20.12345679","21.33333333","23.7037037","12.22222222","13.58024691","7.595157769","8.439064188","33.55555556","37.28395062"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00014","","","","1","31.46","2.49","4.29","11.29","50.61","6.73","21.93","1","74","70","24","24","30","24","8","6","3.42","3","46.9","3","22.3078443","7","7","1.37","3","18.9","4.5","15","23.4","38.4","144","0.255405405","0.064285714","0.1625","6","4.8","3.083333333","2.466666667","0.975","0.78","0.625","0.5","51.38888889","60.9375","80","5.220035566","21","26.25","26","32.5","16.66666667","20.83333333","5.800039518","7.250049397","42.66666667","53.33333333"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00015","","","","2","18.84","1.64","4.11","14.15","50.04","5.62","9.4","2","40","52","13","13","30","13","8","6","2.12","4","62.1","2","28.2773781","6","7","0.72","4","8.5","2.3","10.2","10.8","21","92","0.2125","0.044230769","0.117391304","7.076923077","3.066666667","3.076923077","1.333333333","0.830769231","0.36","0.784615385","0.34","43.47826087","51.42857143","43.33333333","3.053956835","9.444444444","21.79487179","12","27.69230769","11.33333333","26.15384615","3.393285372","7.83065855","23.33333333","53.84615385"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00016","","","","1","","","","","","","","1","0","2","9","9","30","2","","","","1","","","","2","2","","3","0","0.1","16.6","0.1","16.7","2","","0.05","0.05","0.222222222","0.066666667","0","0","0.011111111","0.003333333","1.844444444","0.553333333","0","0.598802395","30","","0","0","0.111111111","0.37037037","18.44444444","61.48148148","","","18.55555556","61.85185185"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00017","","","","1","0","1.57","1.17","18.8","50.46","1.9","6.51","1","52","60","22","22","30","22","9","9","2.67","2","70.24","5","37.25723345","7","7","0.97","3","8.3","3","10.6","11.3","21.9","112","0.159615385","0.05","0.100892857","5.090909091","3.733333333","2.363636364","1.733333333","0.513636364","0.376666667","0.481818182","0.353333333","46.42857143","51.59817352","73.33333333","4.21006738","9.222222222","12.57575758","12.55555556","17.12121212","11.77777778","16.06060606","4.677852645","6.37888997","24.33333333","33.18181818"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00018","","","","1","19.91","1.66","4.91","14.76","50.01","6.69","7.92","2","51","28","24","24","30","24","5","6","2.47","5","61.74","3","29.51409718","6","7","0.74","4","9.8","1.2","8.8","11","19.8","79","0.192156863","0.042857143","0.139240506","3.291666667","2.633333333","2.125","1.7","0.458333333","0.366666667","0.366666667","0.293333333","64.55696203","55.55555556","80","3.24655069","10.88888889","13.61111111","12.22222222","15.27777778","9.777777778","12.22222222","3.607278544","4.50909818","22","27.5"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00019","","","","1","","","","","","","","1","0","8","12","12","30","4","5","3","","2","","2","","2","3","","5","0","0.4","5.2","0.4","5.6","8","","0.05","0.05","0.666666667","0.266666667","0","0","0.033333333","0.013333333","0.433333333","0.173333333","0","7.142857143","40","","0","0","0.444444444","1.111111111","5.777777778","14.44444444","","","6.222222222","15.55555556"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00002","","","","1","","","","","","","","2","66","60","24","24","30","23","9","9","","2","","","","7","6","","4","11.7","2.6","9.8","14.3","24.1","126","0.177272727","0.043333333","0.113492063","5.25","4.2","2.75","2.2","0.595833333","0.476666667","0.408333333","0.326666667","52.38095238","59.33609959","80","","13","16.25","15.88888889","19.86111111","10.88888889","13.61111111","","","26.77777778","33.47222222"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00020","","","","2","0","1.49","2.09","19.01","50.26","3.09","10.26","2","23","70","19","19","30","19","8","6","2.92","7","63.85","3","37.82331874","4","5","0.68","5","3.1","3.6","4.4","6.7","11.1","93","0.134782609","0.051428571","0.072043011","4.894736842","3.1","1.210526316","0.766666667","0.352631579","0.223333333","0.231578947","0.146666667","24.7311828","60.36036036","63.33333333","2.534162356","3.444444444","5.438596491","7.444444444","11.75438596","4.888888889","7.719298246","2.815735951","4.44589887","12.33333333","19.47368421"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00021","","","","4","","","","","","","","2","0","7","16","16","30","3","","","","2","","","","3","2","","5","0","0.2","10","0.2","10.2","7","","0.028571429","0.028571429","0.4375","0.233333333","0","0","0.0125","0.006666667","0.625","0.333333333","0","1.960784314","53.33333333","","0","0","0.222222222","0.416666667","11.11111111","20.83333333","","","11.33333333","21.25"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00022","","","","3","0","1.5","2.11","17.89","50.91","3.1","7.84","2","29","70","28","28","30","28","8","6","2.49","6","66.9","2","35.14044392","4","5","0.91","5","3.7","3.2","6","6.9","12.9","99","0.127586207","0.045714286","0.06969697","3.535714286","3.3","1.035714286","0.966666667","0.246428571","0.23","0.214285714","0.2","29.29292929","53.48837209","93.33333333","2.424690631","4.111111111","4.404761905","7.666666667","8.214285714","6.666666667","7.142857143","2.694100701","2.886536465","14.33333333","15.35714286"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00023","","","","2","8.56","1.5","1.74","18.7","50.88","2.86","7.83","1","7","14","30","30","30","10","1","8","3.25","1","67.63","3","36.75314465","4","4","0.93","4","0.8","0.5","8","1.3","9.3","21","0.114285714","0.035714286","0.061904762","0.7","0.7","0.233333333","0.233333333","0.043333333","0.043333333","0.266666667","0.266666667","33.33333333","13.97849462","100","0.477790881","0.888888889","0.888888889","1.444444444","1.444444444","8.888888889","8.888888889","0.530878756","0.530878756","10.33333333","10.33333333"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00024","","","","3","29.24","2.04","4.5","13.53","50.23","6.64","15.77","2","34","60","22","22","30","20","8","3","3.27","3","53.11","3","26.93609397","5","4","1.09","5","3.2","2","6.8","5.2","12","94","0.094117647","0.033333333","0.055319149","4.272727273","3.133333333","1.545454545","1.133333333","0.236363636","0.173333333","0.309090909","0.226666667","36.17021277","43.33333333","73.33333333","1.400676886","3.555555556","4.848484848","5.777777778","7.878787879","7.555555556","10.3030303","1.556307651","2.122237707","13.33333333","18.18181818"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00003","","","","1","20.74","1.76","2.15","14.18","50.51","3.06","20.5","2","48","16","19","19","30","19","4","6","2.72","4","54.87","2","28.07364878","5","9","0.83","4","24.3","1.9","14.2","26.2","40.4","64","0.50625","0.11875","0.409375","3.368421053","2.133333333","2.526315789","1.6","1.378947368","0.873333333","0.747368421","0.473333333","75","64.85148515","63.33333333","7.355295981","27","42.63157895","29.11111111","45.96491228","15.77777778","24.9122807","8.17255109","12.90402804","44.88888889","70.87719298"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00004","","","","1","0","1.73","0.99","19.74","50.63","1.6","9.09","1","26","36","27","27","30","23","1","8","3.46","2","68.39","5","38.98874185","5","8","0.95","3","9.1","2.7","28.4","11.8","40.2","62","0.35","0.075","0.190322581","2.296296296","2.066666667","0.962962963","0.866666667","0.437037037","0.393333333","1.051851852","0.946666667","41.93548387","29.35323383","90","4.600671539","10.11111111","11.2345679","13.11111111","14.56790123","31.55555556","35.0617284","5.111857265","5.679841406","44.66666667","49.62962963"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00005","","","","1","19.74","1.79","4.43","13.85","50.76","6.03","10.42","2","31","30","16","16","30","15","5","3","2.61","3","59.67","2","27.28526399","6","7","0.78","3","8.1","1.7","10.8","9.8","20.6","61","0.261290323","0.056666667","0.160655738","3.8125","2.033333333","1.9375","1.033333333","0.6125","0.326666667","0.675","0.36","50.81967213","47.57281553","53.33333333","2.673955871","9","16.875","10.88888889","20.41666667","12","22.5","2.971062079","5.570741397","22.88888889","42.91666667"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00006","","","","1","0","1.55","1.96","17.88","50.9","3.24","6.59","1","75","84","22","22","30","22","8","3","2.75","2","68.51","4","35.12770138","7","7","0.91","4","7.3","3.6","12.2","10.9","23.1","159","0.097333333","0.042857143","0.068553459","7.227272727","5.3","3.409090909","2.5","0.495454545","0.363333333","0.554545455","0.406666667","47.16981132","47.18614719","73.33333333","3.82891945","8.111111111","11.06060606","12.11111111","16.51515152","13.55555556","18.48484848","4.254354944","5.801393106","25.66666667","35"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00007","","","","1","8.07","1.42","1.54","19.1","50.23","2.74","7.82","1","1","0","9","9","30","2","","","2.83","2","69.05","3","38.02508461","3","3","0.86","5","0.1","0","13","0.1","13.1","1","0.1","","0.1","0.111111111","0.033333333","0.111111111","0.033333333","0.011111111","0.003333333","1.444444444","0.433333333","100","0.763358779","30","0.038025085","0.111111111","0.37037037","0.111111111","0.37037037","14.44444444","48.14814815","0.042250094","0.140833647","14.55555556","48.51851852"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00008","","","","5","29.3","2.07","5.68","11.6","50.84","8.66","22.12","4","39","83","20","20","30","20","8","6","3.67","7","43.31","3","22.81667978","5","7","1.24","4","7.3","6.9","7.2","14.2","21.4","122","0.187179487","0.08313253","0.116393443","6.1","4.066666667","1.95","1.3","0.71","0.473333333","0.36","0.24","31.96721311","66.35514019","66.66666667","3.239968529","8.111111111","12.16666667","15.77777778","23.66666667","8","12","3.599965032","5.399947548","23.77777778","35.66666667"
"","","GHP2014TON-AT05","","","","","","","","","GHP2014TON-AT05-00009","","","","1","5.75","1.6","1.82","18.02","50.94","2.6","7.5","1","40","63","27","27","30","27","9","9","3.43","2","66.48","2","35.37495092","7","6","0.95","3","9","3.6","10.6","12.6","23.2","103","0.225","0.057142857","0.122330097","3.814814815","3.433333333","1.481481481","1.333333333","0.466666667","0.42","0.392592593","0.353333333","38.83495146","54.31034483","90","4.457243816","10","11.11111111","14","15.55555556","11.77777778","13.08641975","4.952493129","5.502770144","25.77777778","28.64197531"
