"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Alcidodes sp. damage estimating 1-9|CO_331:0000806","Millipede damage estimating 1-9|CO_331:0000805","Number of plants planted per NET plot|CO_331:0000678","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Reaction to Striped sweet potato weevil estimating 1-9|CO_331:0000720","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Storage root size estimating 1-9|CO_331:0000184","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00001","","","","5","3","30","12","9","10","8","3","3","5","1.3","0.2","1.5","1.5","3","18","0.13","0.025","0.083333333","1.5","0.6","0.833333333","0.333333333","0.125","0.05","0.125","0.05","55.55555556","50","40","1.444444444","3.611111111","1.666666667","4.166666667","1.666666667","4.166666667","3.333333333","8.333333333"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00010","","","","3","1","30","30","28","33","26","1","3","1","7.2","1","1","8.2","9.2","59","0.218181818","0.038461538","0.138983051","1.966666667","1.966666667","1.1","1.1","0.273333333","0.273333333","0.033333333","0.033333333","55.93220339","89.13043478","100","8","8","9.111111111","9.111111111","1.111111111","1.111111111","10.22222222","10.22222222"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00011","","","","1","1","30","30","28","27","35","1","3","1","4.5","1.5","17","6","23","62","0.166666667","0.042857143","0.096774194","2.066666667","2.066666667","0.9","0.9","0.2","0.2","0.566666667","0.566666667","43.5483871","26.08695652","100","5","5","6.666666667","6.666666667","18.88888889","18.88888889","25.55555556","25.55555556"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00012","","","","3","1","30","24","24","17","7","1","3","3","2.7","0.3","2","3","5","24","0.158823529","0.042857143","0.125","1","0.8","0.708333333","0.566666667","0.125","0.1","0.083333333","0.066666667","70.83333333","60","80","3","3.75","3.333333333","4.166666667","2.222222222","2.777777778","5.555555556","6.944444444"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00013","","","","3","1","30","14","14","39","10","3","3","3","18.6","0.8","21","19.4","40.4","49","0.476923077","0.08","0.395918367","3.5","1.633333333","2.785714286","1.3","1.385714286","0.646666667","1.5","0.7","79.59183673","48.01980198","46.66666667","20.66666667","44.28571429","21.55555556","46.19047619","23.33333333","50","44.88888889","96.19047619"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00014","","","","3","1","30","26","26","6","2","1","3","1","0.7","0.1","1","0.8","1.8","8","0.116666667","0.05","0.1","0.307692308","0.266666667","0.230769231","0.2","0.030769231","0.026666667","0.038461538","0.033333333","75","44.44444444","86.66666667","0.777777778","0.897435897","0.888888889","1.025641026","1.111111111","1.282051282","2","2.307692308"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00015","","","","3","1","30","5","5","10","14","3","4","3","3.3","1.3","21","4.6","25.6","24","0.33","0.092857143","0.191666667","4.8","0.8","2","0.333333333","0.92","0.153333333","4.2","0.7","41.66666667","17.96875","16.66666667","3.666666667","22","5.111111111","30.66666667","23.33333333","140","28.44444444","170.6666667"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00016","","","","3","1","30","20","15","26","34","1","4","3","4.7","1.8","5","6.5","11.5","60","0.180769231","0.052941176","0.108333333","3","2","1.3","0.866666667","0.325","0.216666667","0.25","0.166666667","43.33333333","56.52173913","66.66666667","5.222222222","7.833333333","7.222222222","10.83333333","5.555555556","8.333333333","12.77777778","19.16666667"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00017","","","","3","3","30","21","21","23","64","1","3","3","3.2","2.4","16.5","5.6","22.1","87","0.139130435","0.0375","0.064367816","4.142857143","2.9","1.095238095","0.766666667","0.266666667","0.186666667","0.785714286","0.55","26.43678161","25.33936652","70","3.555555556","5.079365079","6.222222222","8.888888889","18.33333333","26.19047619","24.55555556","35.07936508"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00018","","","","1","1","30","24","24","67","44","1","2","1","16.6","1.4","12","18","30","111","0.247761194","0.031818182","0.162162162","4.625","3.7","2.791666667","2.233333333","0.75","0.6","0.5","0.4","60.36036036","60","80","18.44444444","23.05555556","20","25","13.33333333","16.66666667","33.33333333","41.66666667"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00019","","","","1","1","30","30","30","34","34","1","2","1","6.9","1.7","12.5","8.6","21.1","68","0.202941176","0.05","0.126470588","2.266666667","2.266666667","1.133333333","1.133333333","0.286666667","0.286666667","0.416666667","0.416666667","50","40.75829384","100","7.666666667","7.666666667","9.555555556","9.555555556","13.88888889","13.88888889","23.44444444","23.44444444"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00002","","","","5","3","30","24","24","28","7","3","3","1","5.3","0.3","4","5.6","9.6","35","0.189285714","0.042857143","0.16","1.458333333","1.166666667","1.166666667","0.933333333","0.233333333","0.186666667","0.166666667","0.133333333","80","58.33333333","80","5.888888889","7.361111111","6.222222222","7.777777778","4.444444444","5.555555556","10.66666667","13.33333333"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00020","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00021","","","","1","1","30","20","20","21","25","1","2","1","2.5","1.2","14","3.7","17.7","46","0.119047619","0.048","0.080434783","2.3","1.533333333","1.05","0.7","0.185","0.123333333","0.7","0.466666667","45.65217391","20.9039548","66.66666667","2.777777778","4.166666667","4.111111111","6.166666667","15.55555556","23.33333333","19.66666667","29.5"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00022","","","","5","1","30","18","18","11","11","3","2","3","1.3","0.6","14.5","1.9","16.4","22","0.118181818","0.054545455","0.086363636","1.222222222","0.733333333","0.611111111","0.366666667","0.105555556","0.063333333","0.805555556","0.483333333","50","11.58536585","60","1.444444444","2.407407407","2.111111111","3.518518519","16.11111111","26.85185185","18.22222222","30.37037037"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00023","","","","3","1","30","24","18","14","14","1","4","5","2.9","0.4","22","3.3","25.3","28","0.207142857","0.028571429","0.117857143","1.166666667","0.933333333","0.583333333","0.466666667","0.1375","0.11","0.916666667","0.733333333","50","13.04347826","80","3.222222222","4.027777778","3.666666667","4.583333333","24.44444444","30.55555556","28.11111111","35.13888889"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00024","","","","3","1","30","18","18","48","48","3","4","3","15.1","0.6","20","15.7","35.7","96","0.314583333","0.0125","0.163541667","5.333333333","3.2","2.666666667","1.6","0.872222222","0.523333333","1.111111111","0.666666667","50","43.97759104","60","16.77777778","27.96296296","17.44444444","29.07407407","22.22222222","37.03703704","39.66666667","66.11111111"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00025","","","","3","1","30","22","22","30","30","3","3","1","5.3","0.9","35","6.2","41.2","60","0.176666667","0.03","0.103333333","2.727272727","2","1.363636364","1","0.281818182","0.206666667","1.590909091","1.166666667","50","15.04854369","73.33333333","5.888888889","8.03030303","6.888888889","9.393939394","38.88888889","53.03030303","45.77777778","62.42424242"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00026","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00027","","","","3","1","30","22","13","17","17","3","3","3","3.9","0.4","15","4.3","19.3","34","0.229411765","0.023529412","0.126470588","1.545454545","1.133333333","0.772727273","0.566666667","0.195454545","0.143333333","0.681818182","0.5","50","22.27979275","73.33333333","4.333333333","5.909090909","4.777777778","6.515151515","16.66666667","22.72727273","21.44444444","29.24242424"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00028","","","","3","1","30","29","29","57","57","3","3","3","9.4","2.3","19.5","11.7","31.2","114","0.164912281","0.040350877","0.102631579","3.931034483","3.8","1.965517241","1.9","0.403448276","0.39","0.672413793","0.65","50","37.5","96.66666667","10.44444444","10.8045977","13","13.44827586","21.66666667","22.4137931","34.66666667","35.86206897"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00029","","","","3","3","30","26","26","86","86","3","3","1","28.2","0.7","19","28.9","47.9","172","0.327906977","0.008139535","0.168023256","6.615384615","5.733333333","3.307692308","2.866666667","1.111538462","0.963333333","0.730769231","0.633333333","50","60.33402923","86.66666667","31.33333333","36.15384615","32.11111111","37.05128205","21.11111111","24.35897436","53.22222222","61.41025641"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00003","","","","5","1","30","23","23","42","53","3","4","5","5.1","2.2","6.5","7.3","13.8","95","0.121428571","0.041509434","0.076842105","4.130434783","3.166666667","1.826086957","1.4","0.317391304","0.243333333","0.282608696","0.216666667","44.21052632","52.89855072","76.66666667","5.666666667","7.391304348","8.111111111","10.57971014","7.222222222","9.420289855","15.33333333","20"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00030","","","","3","1","30","3","3","9","9","3","4","7","2.4","0.7","17.5","3.1","20.6","18","0.266666667","0.077777778","0.172222222","6","0.6","3","0.3","1.033333333","0.103333333","5.833333333","0.583333333","50","15.04854369","10","2.666666667","26.66666667","3.444444444","34.44444444","19.44444444","194.4444444","22.88888889","228.8888889"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00031","","","","3","3","30","30","30","92","92","3","3","1","31.4","1.5","30","32.9","62.9","184","0.341304348","0.016304348","0.178804348","6.133333333","6.133333333","3.066666667","3.066666667","1.096666667","1.096666667","1","1","50","52.30524642","100","34.88888889","34.88888889","36.55555556","36.55555556","33.33333333","33.33333333","69.88888889","69.88888889"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00032","","","","","","30","2","0","0","0","","","","0","0","0.8","0","0.8","0","","","","0","0","0","0","0","0","0.4","0.026666667","","0","6.666666667","0","0","0","0","0.888888889","13.33333333","0.888888889","13.33333333"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00033","","","","3","1","30","30","30","52","52","1","3","1","10.7","4.4","24.5","15.1","39.6","104","0.205769231","0.084615385","0.145192308","3.466666667","3.466666667","1.733333333","1.733333333","0.503333333","0.503333333","0.816666667","0.816666667","50","38.13131313","100","11.88888889","11.88888889","16.77777778","16.77777778","27.22222222","27.22222222","44","44"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00034","","","","1","1","30","14","14","22","22","1","3","5","2.8","0.7","27","3.5","30.5","44","0.127272727","0.031818182","0.079545455","3.142857143","1.466666667","1.571428571","0.733333333","0.25","0.116666667","1.928571429","0.9","50","11.47540984","46.66666667","3.111111111","6.666666667","3.888888889","8.333333333","30","64.28571429","33.88888889","72.61904762"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00035","","","","3","3","30","30","30","22","30","1","2","1","14.4","1.8","37.5","16.2","53.7","52","0.654545455","0.06","0.311538462","1.733333333","1.733333333","0.733333333","0.733333333","0.54","0.54","1.25","1.25","42.30769231","30.16759777","100","16","16","18","18","41.66666667","41.66666667","59.66666667","59.66666667"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00036","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00004","","","","","","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00005","","","","3","1","30","27","27","95","39","3","2","1","26.4","2.1","22.8","28.5","51.3","134","0.277894737","0.053846154","0.212686567","4.962962963","4.466666667","3.518518519","3.166666667","1.055555556","0.95","0.844444444","0.76","70.89552239","55.55555556","90","29.33333333","32.59259259","31.66666667","35.18518519","25.33333333","28.14814815","57","63.33333333"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00006","","","","1","1","30","26","26","51","32","1","3","3","14.8","1.5","22","16.3","38.3","83","0.290196078","0.046875","0.196385542","3.192307692","2.766666667","1.961538462","1.7","0.626923077","0.543333333","0.846153846","0.733333333","61.44578313","42.55874674","86.66666667","16.44444444","18.97435897","18.11111111","20.8974359","24.44444444","28.20512821","42.55555556","49.1025641"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00007","","","","3","1","30","30","21","21","23","1","4","5","2.4","1.1","26.5","3.5","30","44","0.114285714","0.047826087","0.079545455","1.466666667","1.466666667","0.7","0.7","0.116666667","0.116666667","0.883333333","0.883333333","47.72727273","11.66666667","100","2.666666667","2.666666667","3.888888889","3.888888889","29.44444444","29.44444444","33.33333333","33.33333333"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00008","","","","1","1","30","27","27","59","26","1","2","1","11.9","1.4","14.5","13.3","27.8","85","0.201694915","0.053846154","0.156470588","3.148148148","2.833333333","2.185185185","1.966666667","0.492592593","0.443333333","0.537037037","0.483333333","69.41176471","47.84172662","90","13.22222222","14.69135802","14.77777778","16.41975309","16.11111111","17.90123457","30.88888889","34.32098765"
"","","GHP2018KMD-AT02","","","","","","","","","GHP2018KMD-AT02-00009","","","","5","3","30","18","18","51","8","1","4","1","12.7","0.6","14","13.3","27.3","59","0.249019608","0.075","0.225423729","3.277777778","1.966666667","2.833333333","1.7","0.738888889","0.443333333","0.777777778","0.466666667","86.44067797","48.71794872","60","14.11111111","23.51851852","14.77777778","24.62962963","15.55555556","25.92592593","30.33333333","50.55555556"
