"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Number of plants established per NET plot|CO_331:0000192","Virus symptoms estimating 1-9|CO_331:0000193","Virus symptoms estimating 1-9|month 1|before harvest|COMP:0000024","Vine vigor estimating 1-9|CO_331:0000197","Weight of vines per NET plot in kg|CO_331:0000227","Number of plants harvested per NET plot|CO_331:0000679","Number of plants with storage roots per NET plot|CO_331:0000211","Number of commercial storage roots per NET plot|CO_331:0000214","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Storage root size estimating 1-9|CO_331:0000184","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Fibers content in boiled storage root samples estimating 1-9|CO_331:0000259","Content of total sugars estimating 1-9|CO_331:0000766","Content of starch in raw storage roots estimating 1-9|CO_331:0001055","Boiled storage root flesh taste estimating 1-9|CO_331:0000269","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield computation tons per ha|CO_331:0000296","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield in tons per ha|CO_331:0000684","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield in tons per ha|CO_331:0001003","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00001","","","","39","37","1","1","9","17.5","29","29","35","80","7","6.5","4","3","4","1.38","4","3","5","4","13.5","31","115","0.2","0.08125","0.117391304","3.965517241","2.948717949","1.206896552","0.897435897","0.465517241","0.346153846","0.603448276","0.448717949","30.43478261","43.5483871","74.35897436","6.647673314","8.939974457","12.82051282","17.24137931","16.61918329","22.34993614","29.43969611","39.59131545"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00002","","","","39","32","1","1","4","7","23","23","28","67","3.5","2.5","4","4","4","1.5","5","2","4","4","6","13","95","0.125","0.037313433","0.063157895","4.130434783","2.435897436","1.217391304","0.717948718","0.260869565","0.153846154","0.304347826","0.179487179","29.47368421","46.15384615","58.97435897","3.323836657","5.636070853","5.698005698","9.661835749","6.647673314","11.27214171","12.34567901","20.93397746"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00003","","","","39","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00004","","","","39","30","1","1","6","5.5","10","10","0","48","0","3","4","3","3","1.5","4","2","4","4","3","8.5","48","","0.0625","0.0625","4.8","1.230769231","0","0","0.3","0.076923077","0.55","0.141025641","0","35.29411765","25.64102564","0","0","2.849002849","11.11111111","5.22317189","20.37037037","8.072174739","31.48148148"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00005","","","","39","39","1","1","9","12","39","39","70","140","13.5","12","4","3","5","1.38","5","2","4","4","25.5","37.5","210","0.192857143","0.085714286","0.121428571","5.384615385","5.384615385","1.794871795","1.794871795","0.653846154","0.653846154","0.307692308","0.307692308","33.33333333","68","100","12.82051282","12.82051282","24.21652422","24.21652422","11.3960114","11.3960114","35.61253561","35.61253561"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00006","","","","39","36","1","1","9","15.5","32","32","40","60","8","9","4","3","5","1.38","5","2","5","4","17","32.5","100","0.2","0.15","0.17","3.125","2.564102564","1.25","1.025641026","0.53125","0.435897436","0.484375","0.397435897","40","52.30769231","82.05128205","7.597340931","9.259259259","16.14434948","19.67592593","14.71984805","17.93981481","30.86419753","37.61574074"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00007","","","","39","33","1","1","8","13","25","25","55","110","5.5","4","4","3","3","10.5","5","2","4","4","9.5","22.5","165","0.1","0.036363636","0.057575758","6.6","4.230769231","2.2","1.41025641","0.38","0.243589744","0.52","0.333333333","33.33333333","42.22222222","64.1025641","5.22317189","8.148148148","9.021842355","14.07407407","12.34567901","19.25925926","21.36752137","33.33333333"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00008","","","","39","38","1","1","9","8.8","19","19","0","90","0","9","4","4","2","14.37","5","2","4","4","9","17.8","90","","0.1","0.1","4.736842105","2.307692308","0","0","0.473684211","0.230769231","0.463157895","0.225641026","0","50.56179775","48.71794872","0","0","8.547008547","17.54385965","8.357075024","17.1539961","16.90408357","34.69785575"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00009","","","","39","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00010","","","","39","31","1","1","8","10","27","26","30","108","5","5","4","3","4","11.03","5","3","4","4","10","20","138","0.166666667","0.046296296","0.072463768","5.111111111","3.538461538","1.111111111","0.769230769","0.37037037","0.256410256","0.37037037","0.256410256","21.73913043","50","69.23076923","4.748338082","6.858710562","9.496676163","13.71742112","9.496676163","13.71742112","18.99335233","27.43484225"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00011","","","","39","36","1","1","9","15","28","3","0","20","0","2","3","2","5","0.02","","","","","2","17","20","","0.1","0.1","0.714285714","0.512820513","0","0","0.071428571","0.051282051","0.535714286","0.384615385","0","11.76470588","71.79487179","0","0","1.899335233","2.645502646","14.24501425","19.84126984","16.14434948","22.48677249"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00012","","","","39","38","1","1","9","11.2","30","30","36","90","12","8","4","4","4","14.37","4","2","5","4","20","31.2","126","0.333333333","0.088888889","0.158730159","4.2","3.230769231","1.2","0.923076923","0.666666667","0.512820513","0.373333333","0.287179487","28.57142857","64.1025641","76.92307692","11.3960114","14.81481481","18.99335233","24.69135802","10.6362773","13.82716049","29.62962963","38.51851852"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00013","","","","39","32","1","1","8","10","26","20","17","51","6","5.5","4","4","4","4.61","5","2","4","4","11.5","21.5","68","0.352941176","0.107843137","0.169117647","2.615384615","1.743589744","0.653846154","0.435897436","0.442307692","0.294871795","0.384615385","0.256410256","25","53.48837209","66.66666667","5.698005698","8.547008547","10.92117759","16.38176638","9.496676163","14.24501425","20.41785375","30.62678063"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00014","","","","39","39","1","1","9","14.5","30","30","90","130","20","14","4","3","4","4.92","5","2","4","4","34","48.5","220","0.222222222","0.107692308","0.154545455","7.333333333","5.641025641","3","2.307692308","1.133333333","0.871794872","0.483333333","0.371794872","40.90909091","70.10309278","76.92307692","18.99335233","24.69135802","32.28869896","41.97530864","13.77018044","17.90123457","46.05887939","59.87654321"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00015","","","","39","32","1","1","8","12","23","23","76","85","10","4","4","4","5","1.74","5","2","4","4","14","26","161","0.131578947","0.047058824","0.086956522","7","4.128205128","3.304347826","1.948717949","0.608695652","0.358974359","0.52173913","0.307692308","47.20496894","53.84615385","58.97435897","9.496676163","16.10305958","13.29534663","22.54428341","11.3960114","19.3236715","24.69135802","41.86795491"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00016","","","","39","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00017","","","","39","39","1","1","9","16.5","16","16","26","","10","10","4","3","5","1.38","4","2","3","4","20","36.5","","0.384615385","","","","","1.625","0.666666667","1.25","0.512820513","1.03125","0.423076923","","54.79452055","41.02564103","9.496676163","23.14814815","18.99335233","46.2962963","15.66951567","38.19444444","34.662868","84.49074074"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00018","","","","39","39","1","1","9","19.2","22","22","54","110","11","15","","","","1.38","4","2","5","4","26","45.2","164","0.203703704","0.136363636","0.158536585","7.454545455","4.205128205","2.454545455","1.384615385","1.181818182","0.666666667","0.872727273","0.492307692","32.92682927","57.52212389","56.41025641","10.44634378","18.51851852","24.69135802","43.77104377","18.23361823","32.32323232","42.92497626","76.09427609"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00019","","","","39","28","1","1","6","9","15","15","9","18","2.5","1.5","3","2","5","12.39","5","2","3","4","4","13","27","0.277777778","0.083333333","0.148148148","1.8","0.692307692","0.6","0.230769231","0.266666667","0.102564103","0.6","0.230769231","33.33333333","30.76923077","38.46153846","2.374169041","6.172839506","3.798670465","9.87654321","8.547008547","22.22222222","12.34567901","32.09876543"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00020","","","","39","32","1","1","8","10.5","32","32","32","106","4","5.5","3","3","5","3.96","5","2","4","4","9.5","20","138","0.125","0.051886792","0.06884058","4.3125","3.538461538","1","0.820512821","0.296875","0.243589744","0.328125","0.269230769","23.1884058","47.5","82.05128205","3.798670465","4.62962963","9.021842355","10.99537037","9.971509972","12.15277778","18.99335233","23.14814815"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00021","","","","39","37","1","1","9","18.5","30","30","55","72","8","4","4","4","5","14.37","5","2","4","4","12","30.5","127","0.145454545","0.055555556","0.094488189","4.233333333","3.256410256","1.833333333","1.41025641","0.4","0.307692308","0.616666667","0.474358974","43.30708661","39.3442623","76.92307692","7.597340931","9.87654321","11.3960114","14.81481481","17.5688509","22.83950617","28.9648623","37.65432099"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00022","","","","39","36","1","1","5","6.8","25","20","17","29","4","1.2","4","4","5","1.38","","","","","5.2","12","46","0.235294118","0.04137931","0.113043478","1.84","1.179487179","0.68","0.435897436","0.208","0.133333333","0.272","0.174358974","36.95652174","43.33333333","64.1025641","3.798670465","5.925925926","4.938271605","7.703703704","6.457739791","10.07407407","11.3960114","17.77777778"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00023","","","","39","35","1","1","9","14","25","25","47","52","7","4","4","3","5","12.39","5","2","3","4","11","25","99","0.14893617","0.076923077","0.111111111","3.96","2.538461538","1.88","1.205128205","0.44","0.282051282","0.56","0.358974359","47.47474747","44","64.1025641","6.647673314","10.37037037","10.44634378","16.2962963","13.29534663","20.74074074","23.74169041","37.03703704"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00024","","","","39","37","1","1","9","13.5","20","17","16","58","4","3","4","3","5","0.02","4","3","5","3","7","20.5","74","0.25","0.051724138","0.094594595","3.7","1.897435897","0.8","0.41025641","0.35","0.179487179","0.675","0.346153846","21.62162162","34.14634146","51.28205128","3.798670465","7.407407407","6.647673314","12.96296296","12.82051282","25","19.46818613","37.96296296"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00025","","","","39","39","1","1","9","17","28","28","61","113","17","6","4","4","5","12.39","4","2","4","4","23","40","174","0.278688525","0.053097345","0.132183908","6.214285714","4.461538462","2.178571429","1.564102564","0.821428571","0.58974359","0.607142857","0.435897436","35.05747126","57.5","71.79487179","16.14434948","22.48677249","21.84235518","30.42328042","16.14434948","22.48677249","37.98670465","52.91005291"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00026","","","","39","36","1","1","8","8.5","23","20","26","59","6","4.2","4","4","4","4.61","5","2","4","4","10.2","18.7","85","0.230769231","0.071186441","0.12","3.695652174","2.179487179","1.130434783","0.666666667","0.443478261","0.261538462","0.369565217","0.217948718","30.58823529","54.54545455","58.97435897","5.698005698","9.661835749","9.686609687","16.42512077","8.072174739","13.68760064","17.75878443","30.11272142"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00027","","","","39","37","1","1","9","8.5","31","31","33","40","5.5","6.5","4","3","3","4.92","4","2","4","4","12","20.5","73","0.166666667","0.1625","0.164383562","2.35483871","1.871794872","1.064516129","0.846153846","0.387096774","0.307692308","0.274193548","0.217948718","45.20547945","58.53658537","79.48717949","5.22317189","6.571087216","11.3960114","14.33691756","8.072174739","10.15531661","19.46818613","24.49223417"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00028","","","","39","27","1","3","8","10","12","12","49","17","9","2","4","4","4","12.39","5","2","5","4","11","21","66","0.183673469","0.117647059","0.166666667","5.5","1.692307692","4.083333333","1.256410256","0.916666667","0.282051282","0.833333333","0.256410256","74.24242424","52.38095238","30.76923077","8.547008547","27.77777778","10.44634378","33.95061728","9.496676163","30.86419753","19.94301994","64.81481481"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00029","","","","39","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00030","","","","39","39","1","1","9","7.5","29","29","52","70","12","6","4","3","4","1.32","4","2","4","4","18","25.5","122","0.230769231","0.085714286","0.147540984","4.206896552","3.128205128","1.793103448","1.333333333","0.620689655","0.461538462","0.25862069","0.192307692","42.62295082","70.58823529","74.35897436","11.3960114","15.3256705","17.09401709","22.98850575","7.122507123","9.578544061","24.21652422","32.56704981"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00031","","","","39","39","1","1","9","9","25","25","66","52","14","5","5","4","4","1.38","5","2","3","4","19","28","118","0.212121212","0.096153846","0.161016949","4.72","3.025641026","2.64","1.692307692","0.76","0.487179487","0.36","0.230769231","55.93220339","67.85714286","64.1025641","13.29534663","20.74074074","18.04368471","28.14814815","8.547008547","13.33333333","26.59069326","41.48148148"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00032","","","","39","28","1","1","5","3.5","4","3","0","3","0","0.3","3","2","4","1.38","","","","","0.3","3.8","3","","0.1","0.1","0.75","0.076923077","0","0","0.075","0.007692308","0.875","0.08974359","0","7.894736842","10.25641026","0","0","0.284900285","2.777777778","3.323836657","32.40740741","3.608736942","35.18518519"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00033","","","","39","32","1","1","8","10","24","24","80","143","9.5","7.5","4","2","5","11.03","5","2","3","4","17","27","223","0.11875","0.052447552","0.076233184","9.291666667","5.717948718","3.333333333","2.051282051","0.708333333","0.435897436","0.416666667","0.256410256","35.87443946","62.96296296","61.53846154","9.021842355","14.66049383","16.14434948","26.2345679","9.496676163","15.43209877","25.64102564","41.66666667"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00034","","","","39","39","1","1","9","8","28","28","54","53","8","5","4","3","5","14.37","5","2","3","4","13","21","107","0.148148148","0.094339623","0.121495327","3.821428571","2.743589744","1.928571429","1.384615385","0.464285714","0.333333333","0.285714286","0.205128205","50.46728972","61.9047619","71.79487179","7.597340931","10.58201058","12.34567901","17.1957672","7.597340931","10.58201058","19.94301994","27.77777778"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00035","","","","39","36","1","1","8","12","23","19","32","19","6","2.2","4","4","5","1.38","4","2","5","4","8.2","20.2","51","0.1875","0.115789474","0.160784314","2.217391304","1.307692308","1.391304348","0.820512821","0.356521739","0.21025641","0.52173913","0.307692308","62.74509804","40.59405941","58.97435897","5.698005698","9.661835749","7.787274454","13.20450886","11.3960114","19.3236715","19.18328585","32.52818035"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00036","","","","39","39","1","1","9","11.5","28","28","42","42","7","3.5","4","4","5","14.37","5","2","4","4","10.5","22","84","0.166666667","0.083333333","0.125","3","2.153846154","1.5","1.076923077","0.375","0.269230769","0.410714286","0.294871795","50","47.72727273","71.79487179","6.647673314","9.259259259","9.971509972","13.88888889","10.92117759","15.21164021","20.89268756","29.1005291"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00037","","","","39","39","1","1","9","13.5","30","10","7","28","1","2","3","2","4","0.02","5","3","5","3","3","16.5","35","0.142857143","0.071428571","0.085714286","1.166666667","0.897435897","0.233333333","0.179487179","0.1","0.076923077","0.45","0.346153846","20","18.18181818","76.92307692","0.949667616","1.234567901","2.849002849","3.703703704","12.82051282","16.66666667","15.66951567","20.37037037"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00038","","","","39","37","1","1","9","6","22","22","47","24","8","3.2","4","4","4","11.03","4","2","4","4","11.2","17.2","71","0.170212766","0.133333333","0.157746479","3.227272727","1.820512821","2.136363636","1.205128205","0.509090909","0.287179487","0.272727273","0.153846154","66.1971831","65.11627907","56.41025641","7.597340931","13.46801347","10.6362773","18.85521886","5.698005698","10.1010101","16.334283","28.95622896"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00039","","","","39","38","1","1","9","14.5","24","24","76","46","8","5.5","4","4","4","4.61","5","2","3","4","13.5","28","122","0.105263158","0.119565217","0.110655738","5.083333333","3.128205128","3.166666667","1.948717949","0.5625","0.346153846","0.604166667","0.371794872","62.29508197","48.21428571","61.53846154","7.597340931","12.34567901","12.82051282","20.83333333","13.77018044","22.37654321","26.59069326","43.20987654"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00040","","","","39","36","1","1","9","10","22","22","31","78","5.5","8","4","3","4","1.5","","","","","13.5","23.5","109","0.177419355","0.102564103","0.123853211","4.954545455","2.794871795","1.409090909","0.794871795","0.613636364","0.346153846","0.454545455","0.256410256","28.44036697","57.44680851","56.41025641","5.22317189","9.259259259","12.82051282","22.72727273","9.496676163","16.83501684","22.31718898","39.56228956"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00041","","","","39","31","1","1","8","9","22","22","57","143","7.5","6","3","4","5","10.5","5","2","4","4","13.5","22.5","200","0.131578947","0.041958042","0.0675","9.090909091","5.128205128","2.590909091","1.461538462","0.613636364","0.346153846","0.409090909","0.230769231","28.5","60","56.41025641","7.122507123","12.62626263","12.82051282","22.72727273","8.547008547","15.15151515","21.36752137","37.87878788"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00042","","","","39","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00043","","","","39","39","1","1","9","14","30","30","89","162","12","12","3","2","4","1.38","5","2","3","4","24","38","251","0.134831461","0.074074074","0.09561753","8.366666667","6.435897436","2.966666667","2.282051282","0.8","0.615384615","0.466666667","0.358974359","35.45816733","63.15789474","76.92307692","11.3960114","14.81481481","22.79202279","29.62962963","13.29534663","17.28395062","36.08736942","46.91358025"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00044","","","","39","39","1","1","9","16","28","28","105","100","19","10","4","4","5","1.38","5","2","4","4","29","45","205","0.180952381","0.1","0.141463415","7.321428571","5.256410256","3.75","2.692307692","1.035714286","0.743589744","0.571428571","0.41025641","51.2195122","64.44444444","71.79487179","18.04368471","25.13227513","27.54036087","38.35978836","15.19468186","21.16402116","42.73504274","59.52380952"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00045","","","","39","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00046","","","","39","30","1","1","7","4.5","18","18","26","68","3","3.5","3","2","5","3.03","5","2","4","4","6.5","11","94","0.115384615","0.051470588","0.069148936","5.222222222","2.41025641","1.444444444","0.666666667","0.361111111","0.166666667","0.25","0.115384615","27.65957447","59.09090909","46.15384615","2.849002849","6.172839506","6.172839506","13.3744856","4.273504274","9.259259259","10.44634378","22.63374486"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00047","","","","39","39","1","1","9","7","29","29","44","66","6","5","4","4","3","14.37","5","2","4","4","11","18","110","0.136363636","0.075757576","0.1","3.793103448","2.820512821","1.517241379","1.128205128","0.379310345","0.282051282","0.24137931","0.179487179","40","61.11111111","74.35897436","5.698005698","7.662835249","10.44634378","14.04853129","6.647673314","8.939974457","17.09401709","22.98850575"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00048","","","","39","37","1","1","9","12","22","22","63","58","14","4.2","4","4","5","1.38","5","2","4","4","18.2","30.2","121","0.222222222","0.072413793","0.150413223","5.5","3.102564103","2.863636364","1.615384615","0.827272727","0.466666667","0.545454545","0.307692308","52.0661157","60.26490066","56.41025641","13.29534663","23.56902357","17.28395062","30.63973064","11.3960114","20.2020202","28.67996201","50.84175084"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00049","","","","39","39","1","1","9","10","30","30","30","95","5.5","5","4","4","4","12.39","5","2","3","4","10.5","20.5","125","0.183333333","0.052631579","0.084","4.166666667","3.205128205","1","0.769230769","0.35","0.269230769","0.333333333","0.256410256","24","51.2195122","76.92307692","5.22317189","6.790123457","9.971509972","12.96296296","9.496676163","12.34567901","19.46818613","25.30864198"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00050","","","","39","39","1","1","9","14","26","22","24","50","5","4","4","3","5","0.02","5","3","5","4","9","23","74","0.208333333","0.08","0.121621622","2.846153846","1.897435897","0.923076923","0.615384615","0.346153846","0.230769231","0.538461538","0.358974359","32.43243243","39.13043478","66.66666667","4.748338082","7.122507123","8.547008547","12.82051282","13.29534663","19.94301994","21.84235518","32.76353276"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00051","","","","39","35","1","1","8","7","32","32","57","66","11.2","5.5","4","4","4","11.03","5","2","3","4","16.7","23.7","123","0.196491228","0.083333333","0.135772358","3.84375","3.153846154","1.78125","1.461538462","0.521875","0.428205128","0.21875","0.179487179","46.34146341","70.46413502","82.05128205","10.6362773","12.96296296","15.85944919","19.3287037","6.647673314","8.101851852","22.50712251","27.43055556"
"","","MZP2009CKE-AT03","","","","","","","","","MZP2009CKE-AT03-00052","","","","39","39","1","1","9","14","23","23","29","85","10","8","4","4","4","4.61","5","2","4","4","18","32","114","0.344827586","0.094117647","0.157894737","4.956521739","2.923076923","1.260869565","0.743589744","0.782608696","0.461538462","0.608695652","0.358974359","25.43859649","56.25","58.97435897","9.496676163","16.10305958","17.09401709","28.98550725","13.29534663","22.54428341","30.38936372","51.52979066"
