"studyYear","studyDbId","studyName","studyDesign","locationDbId","locationName","germplasmDbId","germplasmName","germplasmSynonyms","observationLevel","observationUnitDbId","observationUnitName","replicate","blockNumber","plotNumber","Number of plants planted per NET plot|CO_331:0000678","Vine vigor estimating 1-9|CO_331:0000197","Virus symptoms estimating 1-9|CO_331:0000193","Alternaria symptoms estimating 1-9|CO_331:0000198","Reaction to sweet potato weevil estimating 1-9|CO_331:0000207","Number of plants harvested per NET plot|CO_331:0000679","Number of commercial storage roots per NET plot|CO_331:0000214","Weight of commercial storage roots per NET plot in kg|CO_331:0000220","Number of non-commercial storage roots per NET plot|CO_331:0000217","Weight of non-commercial storage roots per NET plot in kg|CO_331:0000223","Weight of vines per NET plot in kg|CO_331:0000227","Storage root appearance estimating 1-9 CIP|CO_331:0000202","Sprouting ability estimating 1-9|CO_331:0000277","Storage root skin predominant color estimating 1-9 CIP|CO_331:0000175","Content of beta-carotene in fresh weight basis in raw storage roots estimating from RHS color chart in mg per 100g|CO_331:0001023","Total storage root weight per NET plot in kg|CO_331:0000237","Biomass yield in kg per plot|CO_331:0000683","Number of storage roots after harvest per NET plot|CO_331:0000233","Average commercial storage root weight computation kg|CO_331:0000680","Average non-commercial storage root weight computation kg|CO_331:0002039","Average total storage root weight computation kg|CO_331:0002040","Number of storage roots-after harvest per plant harvested|CO_331:0000230","Number of storage roots-after harvest per plant planted|CO_331:0000994","Number of commercial storage roots per plant harvested|CO_331:2000036","Number of commercial storage roots per plant planted|CO_331:0000993","Storage roots yield in kg per plant harvested|CO_331:0000681","Storage roots yield in kg per plant planted|CO_331:0000989","Vine weight in kg per plant harvested|CO_331:0000990","Vine weight in kg per plant planted|CO_331:0000991","Percentage of commercial storage root|CO_331:0000682","Harvest index computing percent|CO_331:0000302","Survival index computing percent|CO_331:0000301","Commercial storage root yield tons per ha|CO_331:0000809","Total storage roots yield computation tons per ha|CO_331:0000296","Total foliage yield in tons per ha|CO_331:0000684","Biomass yield in tons per ha|CO_331:0001003","Commercial storage root yield adjusted tons per ha|CO_331:0000998","Total storage roots yield adjusted tons per ha|CO_331:0000999","Total foliage yield adjusted in tons per ha|CO_331:0001002","Biomass yield adjusted in tons per ha|CO_331:0001004"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00001","","","","45","2","4","5","1","30","52","18","52","5","45","9","1","2","0","23","68","104","0.346153846","0.096153846","0.221153846","3.466666667","2.311111111","1.733333333","1.155555556","0.766666667","0.511111111","1.5","1","50","33.82352941","66.66666667","13.33333333","17.03703704","33.33333333","50.37037037","20","25.55555556","50","75.55555556"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00002","","","","45","3","3","3","1","21","8","2.5","38","2.5","25","9","1","2","1.65","5","30","46","0.3125","0.065789474","0.108695652","2.19047619","1.022222222","0.380952381","0.177777778","0.238095238","0.111111111","1.19047619","0.555555556","17.39130435","16.66666667","46.66666667","1.851851852","3.703703704","18.51851852","22.22222222","3.968253968","7.936507937","39.68253968","47.61904762"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00003","","","","45","3","4","6","1","30","39","10","50","5","19","9","4","2","0.15","15","34","89","0.256410256","0.1","0.168539326","2.966666667","1.977777778","1.3","0.866666667","0.5","0.333333333","0.633333333","0.422222222","43.82022472","44.11764706","66.66666667","7.407407407","11.11111111","14.07407407","25.18518519","11.11111111","16.66666667","21.11111111","37.77777778"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00004","","","","45","3","5","6","1","25","73","20.5","122","10","26","9","8","8","1.65","30.5","56.5","195","0.280821918","0.081967213","0.156410256","7.8","4.333333333","2.92","1.622222222","1.22","0.677777778","1.04","0.577777778","37.43589744","53.98230088","55.55555556","15.18518519","22.59259259","19.25925926","41.85185185","27.33333333","40.66666667","34.66666667","75.33333333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00005","","","","45","3","5","4","1","24","20","6.8","90","4","42","9","1","2","0","10.8","52.8","110","0.34","0.044444444","0.098181818","4.583333333","2.444444444","0.833333333","0.444444444","0.45","0.24","1.75","0.933333333","18.18181818","20.45454545","53.33333333","5.037037037","8","31.11111111","39.11111111","9.444444444","15","58.33333333","73.33333333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00006","","","","45","3","4","5","1","21","0","0","10","0.2","24","9","1","2","1.65","0.2","24.2","10","","0.02","0.02","0.476190476","0.222222222","0","0","0.00952381","0.004444444","1.142857143","0.533333333","0","0.826446281","46.66666667","0","0.148148148","17.77777778","17.92592593","0","0.317460317","38.0952381","38.41269841"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00007","","","","45","2","3","3","1","36","30","11","50","5","44","9","1","8","1.38","16","60","80","0.366666667","0.1","0.2","2.222222222","1.777777778","0.833333333","0.666666667","0.444444444","0.355555556","1.222222222","0.977777778","37.5","26.66666667","80","8.148148148","11.85185185","32.59259259","44.44444444","10.18518519","14.81481481","40.74074074","55.55555556"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00008","","","","45","2","3","5","1","30","18","5.5","32","4","39","9","1","8","0","9.5","48.5","50","0.305555556","0.125","0.19","1.666666667","1.111111111","0.6","0.4","0.316666667","0.211111111","1.3","0.866666667","36","19.58762887","66.66666667","4.074074074","7.037037037","28.88888889","35.92592593","6.111111111","10.55555556","43.33333333","53.88888889"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00009","","","","45","5","5","7","1","24","0","0","44","2","7","9","1","2","0","2","9","44","","0.045454545","0.045454545","1.833333333","0.977777778","0","0","0.083333333","0.044444444","0.291666667","0.155555556","0","22.22222222","53.33333333","0","1.481481481","5.185185185","6.666666667","0","2.777777778","9.722222222","12.5"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00010","","","","45","3","4","6","1","27","16","5.5","102","4.5","15","9","1","2","1.65","10","25","118","0.34375","0.044117647","0.084745763","4.37037037","2.622222222","0.592592593","0.355555556","0.37037037","0.222222222","0.555555556","0.333333333","13.55932203","40","60","4.074074074","7.407407407","11.11111111","18.51851852","6.790123457","12.34567901","18.51851852","30.86419753"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00011","","","","45","4","6","5","1","32","51","8.5","204","5.5","40","9","1","2","0","14","54","255","0.166666667","0.026960784","0.054901961","7.96875","5.666666667","1.59375","1.133333333","0.4375","0.311111111","1.25","0.888888889","20","25.92592593","71.11111111","6.296296296","10.37037037","29.62962963","40","8.854166667","14.58333333","41.66666667","56.25"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00012","","","","45","2","4","5","1","29","52","14","142","6.8","30","9","1","","","20.8","50.8","194","0.269230769","0.047887324","0.107216495","6.689655172","4.311111111","1.793103448","1.155555556","0.717241379","0.462222222","1.034482759","0.666666667","26.80412371","40.94488189","64.44444444","10.37037037","15.40740741","22.22222222","37.62962963","16.09195402","23.90804598","34.48275862","58.3908046"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00013","","","","45","3","5","4","1","27","29","5","120","4","28","9","1","","","9","37","149","0.172413793","0.033333333","0.060402685","5.518518519","3.311111111","1.074074074","0.644444444","0.333333333","0.2","1.037037037","0.622222222","19.46308725","24.32432432","60","3.703703704","6.666666667","20.74074074","27.40740741","6.172839506","11.11111111","34.56790123","45.67901235"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00014","","","","45","3","4","6","1","29","0","0","77","1.5","18","9","1","","","1.5","19.5","77","","0.019480519","0.019480519","2.655172414","1.711111111","0","0","0.051724138","0.033333333","0.620689655","0.4","0","7.692307692","64.44444444","0","1.111111111","13.33333333","14.44444444","0","1.724137931","20.68965517","22.4137931"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00015","","","","45","2","4","6","1","19","30","8.5","80","3","36","9","3","","","11.5","47.5","110","0.283333333","0.0375","0.104545455","5.789473684","2.444444444","1.578947368","0.666666667","0.605263158","0.255555556","1.894736842","0.8","27.27272727","24.21052632","42.22222222","6.296296296","8.518518519","26.66666667","35.18518519","14.9122807","20.1754386","63.15789474","83.33333333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00016","","","","45","2","3","6","1","27","130","33","191","7.5","40","9","8","","","40.5","80.5","321","0.253846154","0.039267016","0.126168224","11.88888889","7.133333333","4.814814815","2.888888889","1.5","0.9","1.481481481","0.888888889","40.49844237","50.31055901","60","24.44444444","30","29.62962963","59.62962963","40.74074074","50","49.38271605","99.38271605"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00017","","","","45","2","3","4","1","32","21","6.5","12","1","38","9","1","","","7.5","45.5","33","0.30952381","0.083333333","0.227272727","1.03125","0.733333333","0.65625","0.466666667","0.234375","0.166666667","1.1875","0.844444444","63.63636364","16.48351648","71.11111111","4.814814815","5.555555556","28.14814815","33.7037037","6.770833333","7.8125","39.58333333","47.39583333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00018","","","","45","2","4","5","1","23","24","6.5","39","2","20","9","1","","","8.5","28.5","63","0.270833333","0.051282051","0.134920635","2.739130435","1.4","1.043478261","0.533333333","0.369565217","0.188888889","0.869565217","0.444444444","38.0952381","29.8245614","51.11111111","4.814814815","6.296296296","14.81481481","21.11111111","9.420289855","12.31884058","28.98550725","41.30434783"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00019","","","","45","1","2","4","1","37","21","6","24","1.2","47","9","1","","","7.2","54.2","45","0.285714286","0.05","0.16","1.216216216","1","0.567567568","0.466666667","0.194594595","0.16","1.27027027","1.044444444","46.66666667","13.28413284","82.22222222","4.444444444","5.333333333","34.81481481","40.14814815","5.405405405","6.486486486","42.34234234","48.82882883"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00020","","","","45","2","4","5","1","10","40","10","194","8","64","9","1","","","18","82","234","0.25","0.041237113","0.076923077","23.4","5.2","4","0.888888889","1.8","0.4","6.4","1.422222222","17.09401709","21.95121951","22.22222222","7.407407407","13.33333333","47.40740741","60.74074074","33.33333333","60","213.3333333","273.3333333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00021","","","","45","3","3","6","1","15","0","0","25","1","5","9","1","","","1","6","25","","0.04","0.04","1.666666667","0.555555556","0","0","0.066666667","0.022222222","0.333333333","0.111111111","0","16.66666667","33.33333333","0","0.740740741","3.703703704","4.444444444","0","2.222222222","11.11111111","13.33333333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00022","","","","45","2","3","4","2","20","7","3","11","1","21","9","3","","","4","25","18","0.428571429","0.090909091","0.222222222","0.9","0.4","0.35","0.155555556","0.2","0.088888889","1.05","0.466666667","38.88888889","16","44.44444444","2.222222222","2.962962963","15.55555556","18.51851852","5","6.666666667","35","41.66666667"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00023","","","","45","3","4","5","1","28","10","4","32","3","21","9","1","","","7","28","42","0.4","0.09375","0.166666667","1.5","0.933333333","0.357142857","0.222222222","0.25","0.155555556","0.75","0.466666667","23.80952381","25","62.22222222","2.962962963","5.185185185","15.55555556","20.74074074","4.761904762","8.333333333","25","33.33333333"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00024","","","","45","2","3","5","1","40","16","5.5","12","1","16","9","1","","","6.5","22.5","28","0.34375","0.083333333","0.232142857","0.7","0.622222222","0.4","0.355555556","0.1625","0.144444444","0.4","0.355555556","57.14285714","28.88888889","88.88888889","4.074074074","4.814814815","11.85185185","16.66666667","4.583333333","5.416666667","13.33333333","18.75"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00025","","","","45","2","4","3","1","26","26","6.5","46","2.5","11","9","1","","","9","20","72","0.25","0.054347826","0.125","2.769230769","1.6","1","0.577777778","0.346153846","0.2","0.423076923","0.244444444","36.11111111","45","57.77777778","4.814814815","6.666666667","8.148148148","14.81481481","8.333333333","11.53846154","14.1025641","25.64102564"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00026","","","","45","2","5","6","1","37","27","7","32","2.7","19","9","1","","","9.7","28.7","59","0.259259259","0.084375","0.16440678","1.594594595","1.311111111","0.72972973","0.6","0.262162162","0.215555556","0.513513514","0.422222222","45.76271186","33.79790941","82.22222222","5.185185185","7.185185185","14.07407407","21.25925926","6.306306306","8.738738739","17.11711712","25.85585586"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00027","","","","45","2","4","5","1","33","40","9.5","92","4.5","20","9","1","","","14","34","132","0.2375","0.048913043","0.106060606","4","2.933333333","1.212121212","0.888888889","0.424242424","0.311111111","0.606060606","0.444444444","30.3030303","41.17647059","73.33333333","7.037037037","10.37037037","14.81481481","25.18518519","9.595959596","14.14141414","20.2020202","34.34343434"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00028","","","","45","2","4","4","1","20","0","0","6","0.2","14","9","1","","","0.2","14.2","6","","0.033333333","0.033333333","0.3","0.133333333","0","0","0.01","0.004444444","0.7","0.311111111","0","1.408450704","44.44444444","0","0.148148148","10.37037037","10.51851852","0","0.333333333","23.33333333","23.66666667"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00029","","","","45","4","6","6","1","16","2","0.5","7","0.2","7","9","1","","","0.7","7.7","9","0.25","0.028571429","0.077777778","0.5625","0.2","0.125","0.044444444","0.04375","0.015555556","0.4375","0.155555556","22.22222222","9.090909091","35.55555556","0.37037037","0.518518519","5.185185185","5.703703704","1.041666667","1.458333333","14.58333333","16.04166667"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00030","","","","45","2","5","6","1","20","25","4.5","52","4.5","7","9","8","","","9","16","77","0.18","0.086538462","0.116883117","3.85","1.711111111","1.25","0.555555556","0.45","0.2","0.35","0.155555556","32.46753247","56.25","44.44444444","3.333333333","6.666666667","5.185185185","11.85185185","7.5","15","11.66666667","26.66666667"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00031","","","","45","2","4","5","1","28","45","16.5","25","3","23","9","1","","","19.5","42.5","70","0.366666667","0.12","0.278571429","2.5","1.555555556","1.607142857","1","0.696428571","0.433333333","0.821428571","0.511111111","64.28571429","45.88235294","62.22222222","12.22222222","14.44444444","17.03703704","31.48148148","19.64285714","23.21428571","27.38095238","50.5952381"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00032","","","","45","2","3","3","1","31","13","2.7","48","3","17","9","1","","","5.7","22.7","61","0.207692308","0.0625","0.093442623","1.967741935","1.355555556","0.419354839","0.288888889","0.183870968","0.126666667","0.548387097","0.377777778","21.31147541","25.11013216","68.88888889","2","4.222222222","12.59259259","16.81481481","2.903225806","6.129032258","18.27956989","24.40860215"
"","","UGP2011KAC-PT01","","","","","","","","","UGP2011KAC-PT01-00033","","","","45","3","4","6","1","28","29","6.5","99","3.7","14","9","1","","","10.2","24.2","128","0.224137931","0.037373737","0.0796875","4.571428571","2.844444444","1.035714286","0.644444444","0.364285714","0.226666667","0.5","0.311111111","22.65625","42.14876033","62.22222222","4.814814815","7.555555556","10.37037037","17.92592593","7.738095238","12.14285714","16.66666667","28.80952381"
